project_code,mounting_zone,environment_rating,wire_count,connector_count,splice_count,branch_points,avg_wire_length_m,total_wire_length_m,dominant_awg,awg_mix_entropy,insulation,shield_type,bundle_protection,connector_series,voltage_level,continuity_test,insulation_resistance_test,hipot_test,harness_weight_kg,current_max_amp,complexity_score,estimated_build_time_hr,estimated_material_cost_usd,defect_risk_prob,likely_defect
P1189,Cabin,Normal,156,36,6,8,1.36,212.14,14,0.789,PTFE,Foil,Lacing Cord,MIL-DTL-83723,28VDC,TRUE,FALSE,FALSE,7.541,20,7.65,27.71,1435.63,0.296,0
P4843,Avionics Bay,Vibration-Prone,102,24,3,5,1.009,102.88,22,0.456,XL-ETFE,None,Braided Sleeving,MIL-DTL-38999,230VAC 50Hz,TRUE,TRUE,FALSE,1.122,3,6.78,18.57,1029.48,0.362,0
P6450,Cargo Bay,Normal,72,13,0,4,1.651,118.86,20,0.35,PTFE,None,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.614,5,5.44,12.25,630.74,0.226,0
P8554,Cockpit,Moisture-Prone,66,10,5,3,1.735,114.52,18,0.995,PTFE,Braid,Lacing Cord,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,2.379,8,6.89,18.49,464.33,0.269,0
P3961,Avionics Bay,Normal,84,20,0,4,2.137,179.53,22,0.453,XL-ETFE,Foil,Braided Sleeving,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,2.054,3,6.4,16.77,632.92,0.227,0
P4863,Cabin,Normal,54,11,3,0,1.767,95.44,20,0.454,XL-ETFE,Foil,Lacing Cord,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,1.39,5,5.89,12.65,331.46,0.238,0
P7002,Cargo Bay,High Temp,136,32,3,5,1.435,195.15,12,0.719,XL-ETFE,Foil,Lacing Cord,Micro-D,28VDC,TRUE,FALSE,FALSE,8.555,21.25,7.67,26.05,1099.42,0.296,0
P7966,Wing Root,Moisture-Prone,40,13,0,0,2.313,92.5,12,0.465,Polyimide,Foil,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,FALSE,FALSE,3.857,25,6.03,14.53,713.88,0.266,0
P8004,Cargo Bay,High Temp,59,12,1,2,1.38,81.44,20,0.819,PTFE,None,Spiral Wrap,Micro-D,28VDC,TRUE,TRUE,FALSE,1.213,4.25,5.74,14.13,403.78,0.209,0
P1417,Cargo Bay,High Temp,95,21,3,4,1.62,153.93,18,0.699,PTFE,Braid,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,3.025,6.8,7.45,20.8,1021.16,0.257,0
P3914,Cockpit,Normal,10,4,0,0,1.435,14.35,26,0.797,PTFE,Foil,Braided Sleeving,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,0.104,1.2,4.24,5.67,191.83,0.172,0
P2062,Avionics Bay,Moisture-Prone,89,24,5,7,1.622,144.38,18,0.612,XL-ETFE,Foil,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,2.79,8,7.4,23.79,1188.49,0.257,1
P7819,Avionics Bay,Normal,56,7,1,0,2.291,128.3,16,0.301,XL-ETFE,None,Spiral Wrap,MIL-DTL-83723,115VAC 400Hz,TRUE,FALSE,TRUE,2.957,13,4.86,11.87,380.95,0.187,0
P7881,Avionics Bay,High Temp,53,20,2,2,1.946,103.16,18,0.579,PTFE,Braid,Heat Shrink,MIL-DTL-83723,230VAC 50Hz,TRUE,TRUE,TRUE,1.981,6.8,6.92,18.26,749.5,0.241,1
P2906,Engine Nacelle,Normal,46,10,3,3,2.422,111.41,16,0.536,XL-ETFE,None,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,2.693,13,5.34,13.48,512.16,0.224,0
P8240,Cockpit,High Temp,43,10,2,2,1.92,82.55,16,0.614,PTFE,Foil,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,2.128,11.05,6.26,16.56,534.82,0.223,1
